Average trade price: 227.120002, Total volume: 10.000000
Average trade price: 227.127926, Total volume: 271.000000
Average trade price: 227.131950, Total volume: 317.000000
Average trade price: 227.127712, Total volume: 4729.000000
Average trade price: 227.109170, Total volume: 5292.000000
Average trade price: 227.096809, Total volume: 5939.000000
Average trade price: 227.085480, Total volume: 6017.000000
Average trade price: 227.074482, Total volume: 6670.000000
Average trade price: 227.054817, Total volume: 21973.000000
Average trade price: 227.050835, Total volume: 21996.000000
Average trade price: 227.047573, Total volume: 22010.000000
Average trade price: 227.044858, Total volume: 22032.000000
Average trade price: 227.042561, Total volume: 22145.000000
Average trade price: 227.041307, Total volume: 22319.000000
Average trade price: 227.041887, Total volume: 22330.000000
Average trade price: 227.037220, Total volume: 22346.000000
Average trade price: 227.031497, Total volume: 22109.000000
Average trade price: 227.025497, Total volume: 22131.000000
Average trade price: 227.021498, Total volume: 17730.000000
Average trade price: 227.023164, Total volume: 17177.000000
Average trade price: 227.022997, Total volume: 16537.000000
Average trade price: 227.023997, Total volume: 16466.000000
Average trade price: 227.027830, Total volume: 16240.000000
Average trade price: 227.038330, Total volume: 953.000000
Average trade price: 227.039330, Total volume: 1265.000000
Average trade price: 227.040667, Total volume: 1388.000000
Average trade price: 227.041667, Total volume: 1414.000000
Average trade price: 227.042500, Total volume: 1310.000000
Average trade price: 227.043500, Total volume: 1289.000000
Average trade price: 227.039163, Total volume: 3704.000000
Average trade price: 227.033569, Total volume: 3847.000000
Average trade price: 227.027902, Total volume: 3888.000000
Average trade price: 227.026069, Total volume: 4423.000000
Average trade price: 227.020235, Total volume: 4558.000000
Average trade price: 227.019069, Total volume: 4550.000000
Average trade price: 227.019569, Total volume: 4647.000000
Average trade price: 227.018070, Total volume: 4654.000000
Average trade price: 227.016400, Total volume: 4447.000000
Average trade price: 227.015070, Total volume: 4475.000000
Average trade price: 227.015071, Total volume: 4260.000000
Average trade price: 227.013738, Total volume: 4132.000000
Average trade price: 227.009071, Total volume: 4204.000000
Average trade price: 227.006405, Total volume: 4226.000000
Average trade price: 227.005031, Total volume: 4077.000000
Average trade price: 227.005701, Total volume: 1729.000000
Average trade price: 227.009295, Total volume: 1591.000000
Average trade price: 227.010962, Total volume: 1914.000000
Average trade price: 227.009462, Total volume: 1444.000000
Average trade price: 227.011962, Total volume: 1454.000000
Average trade price: 227.009462, Total volume: 1512.000000
Average trade price: 227.000796, Total volume: 2063.000000
Average trade price: 226.999129, Total volume: 2753.000000
Average trade price: 226.995422, Total volume: 3093.000000
Average trade price: 226.991418, Total volume: 3484.000000
Average trade price: 226.988418, Total volume: 3471.000000
Average trade price: 226.985394, Total volume: 4886.000000
Average trade price: 226.986061, Total volume: 5429.000000
Average trade price: 226.985231, Total volume: 5815.000000
Average trade price: 226.982271, Total volume: 7700.000000
Average trade price: 226.981654, Total volume: 7786.000000
Average trade price: 226.980537, Total volume: 9418.000000
Average trade price: 226.983871, Total volume: 9139.000000
