Starting Price: 227.134995, Ending Price: 227.139999, Highest Price: 227.139999, Lowest Price: 227.100006, Total Volume: 10.000000
Starting Price: 227.168198, Ending Price: 227.110001, Highest Price: 227.169998, Lowest Price: 227.101700, Total Volume: 261.000000
Starting Price: 227.169998, Ending Price: 227.134995, Highest Price: 227.169998, Lowest Price: 227.110001, Total Volume: 46.000000
Starting Price: 227.169998, Ending Price: 227.059998, Highest Price: 227.169998, Lowest Price: 227.059998, Total Volume: 4412.000000
Starting Price: 227.059998, Ending Price: 227.035004, Highest Price: 227.070007, Lowest Price: 227.000000, Total Volume: 563.000000
Starting Price: 227.059998, Ending Price: 227.000000, Highest Price: 227.070007, Lowest Price: 227.000000, Total Volume: 647.000000
Starting Price: 227.035004, Ending Price: 227.000000, Highest Price: 227.035004, Lowest Price: 227.000000, Total Volume: 78.000000
Starting Price: 227.014999, Ending Price: 226.979996, Highest Price: 227.014999, Lowest Price: 226.979996, Total Volume: 653.000000
Starting Price: 227.000000, Ending Price: 227.014999, Highest Price: 227.014999, Lowest Price: 226.779999, Total Volume: 15303.000000
Starting Price: 227.000000, Ending Price: 227.000702, Highest Price: 227.029999, Lowest Price: 227.000000, Total Volume: 23.000000
Starting Price: 227.014999, Ending Price: 227.014999, Highest Price: 227.019897, Lowest Price: 227.009995, Total Volume: 14.000000
Starting Price: 227.000000, Ending Price: 227.029999, Highest Price: 227.029999, Lowest Price: 227.000000, Total Volume: 22.000000
Starting Price: 227.000000, Ending Price: 227.014999, Highest Price: 227.029999, Lowest Price: 227.000000, Total Volume: 113.000000
Starting Price: 227.014999, Ending Price: 227.050003, Highest Price: 227.050003, Lowest Price: 227.000000, Total Volume: 174.000000
Starting Price: 227.100006, Ending Price: 227.050003, Highest Price: 227.100006, Lowest Price: 227.000000, Total Volume: 11.000000
Starting Price: 227.100006, Ending Price: 227.020004, Highest Price: 227.100006, Lowest Price: 227.000000, Total Volume: 26.000000
Starting Price: 227.050003, Ending Price: 227.020004, Highest Price: 227.100006, Lowest Price: 227.000000, Total Volume: 24.000000
Starting Price: 227.050003, Ending Price: 227.000000, Highest Price: 227.100006, Lowest Price: 227.000000, Total Volume: 68.000000
Starting Price: 227.054993, Ending Price: 227.054993, Highest Price: 227.100006, Lowest Price: 227.009995, Total Volume: 11.000000
Starting Price: 227.054993, Ending Price: 227.054993, Highest Price: 227.100006, Lowest Price: 227.020004, Total Volume: 10.000000
