Starting Price: 185.000000, Ending Price: 184.914993, Highest Price: 185.000000, Lowest Price: 184.830002, Total Volume: 231.000000
Starting Price: 184.914993, Ending Price: 185.000000, Highest Price: 185.000000, Lowest Price: 184.830002, Total Volume: 131.000000
Starting Price: 184.910004, Ending Price: 184.925003, Highest Price: 184.990204, Lowest Price: 184.850006, Total Volume: 361.000000
Starting Price: 184.925003, Ending Price: 184.925003, Highest Price: 184.925003, Lowest Price: 184.925003, Total Volume: 3.000000
Starting Price: 184.940002, Ending Price: 185.000000, Highest Price: 185.000000, Lowest Price: 184.925003, Total Volume: 7.000000
Starting Price: 184.964996, Ending Price: 184.857498, Highest Price: 184.990005, Lowest Price: 184.850006, Total Volume: 262.000000
Starting Price: 184.949997, Ending Price: 184.925003, Highest Price: 184.990005, Lowest Price: 184.899994, Total Volume: 84.000000
Starting Price: 184.990005, Ending Price: 184.960007, Highest Price: 184.990005, Lowest Price: 184.850006, Total Volume: 129.000000
Starting Price: 184.925003, Ending Price: 184.899994, Highest Price: 184.990005, Lowest Price: 184.759995, Total Volume: 17628.000000
Starting Price: 184.899994, Ending Price: 184.925003, Highest Price: 185.000000, Lowest Price: 184.899994, Total Volume: 62.000000
Starting Price: 184.925003, Ending Price: 184.990005, Highest Price: 184.990005, Lowest Price: 184.899994, Total Volume: 9.000000
Starting Price: 184.889999, Ending Price: 184.889999, Highest Price: 184.990005, Lowest Price: 184.850006, Total Volume: 27.000000
Starting Price: 184.889999, Ending Price: 184.875000, Highest Price: 184.990005, Lowest Price: 184.875000, Total Volume: 50.000000
Starting Price: 184.860001, Ending Price: 184.850006, Highest Price: 184.897507, Lowest Price: 184.850006, Total Volume: 24.000000
Starting Price: 184.899994, Ending Price: 184.875000, Highest Price: 184.899994, Lowest Price: 184.875000, Total Volume: 5.000000
Starting Price: 184.850006, Ending Price: 184.879105, Highest Price: 184.919998, Lowest Price: 184.850006, Total Volume: 116.000000
Starting Price: 184.875000, Ending Price: 184.880005, Highest Price: 184.880005, Lowest Price: 184.869995, Total Volume: 15.000000
Starting Price: 184.889999, Ending Price: 184.850006, Highest Price: 184.889999, Lowest Price: 184.850006, Total Volume: 104.000000
Starting Price: 184.899994, Ending Price: 184.869995, Highest Price: 184.899994, Lowest Price: 184.865005, Total Volume: 48.000000
Starting Price: 184.898193, Ending Price: 184.899994, Highest Price: 184.899994, Lowest Price: 184.865005, Total Volume: 115.000000
Starting Price: 184.865005, Ending Price: 184.865005, Highest Price: 184.899994, Lowest Price: 184.865005, Total Volume: 37.000000
Starting Price: 184.869995, Ending Price: 184.889999, Highest Price: 184.889999, Lowest Price: 184.850006, Total Volume: 102.000000
Starting Price: 184.896500, Ending Price: 184.865005, Highest Price: 184.896500, Lowest Price: 184.850006, Total Volume: 1168.000000
Starting Price: 184.889999, Ending Price: 184.949997, Highest Price: 184.949997, Lowest Price: 184.889999, Total Volume: 424.000000
Starting Price: 184.949997, Ending Price: 184.910004, Highest Price: 184.949997, Lowest Price: 184.910004, Total Volume: 86.000000
Starting Price: 184.899994, Ending Price: 184.949997, Highest Price: 184.949997, Lowest Price: 184.899994, Total Volume: 137.000000
Starting Price: 184.945007, Ending Price: 184.899994, Highest Price: 184.949997, Lowest Price: 184.899994, Total Volume: 20.000000
Starting Price: 184.899994, Ending Price: 184.945007, Highest Price: 184.990005, Lowest Price: 184.899994, Total Volume: 22.000000
Starting Price: 184.990005, Ending Price: 184.949997, Highest Price: 184.990005, Lowest Price: 184.899994, Total Volume: 189.000000
Starting Price: 184.949997, Ending Price: 184.925003, Highest Price: 185.000000, Lowest Price: 184.850006, Total Volume: 519.000000
Starting Price: 184.951004, Ending Price: 184.925003, Highest Price: 184.951004, Lowest Price: 184.925003, Total Volume: 12.000000
Starting Price: 184.925003, Ending Price: 184.839996, Highest Price: 184.989899, Lowest Price: 184.839996, Total Volume: 145.000000
Starting Price: 184.914993, Ending Price: 184.899994, Highest Price: 184.979996, Lowest Price: 184.899994, Total Volume: 38.000000
Starting Price: 184.927994, Ending Price: 184.929993, Highest Price: 184.929993, Lowest Price: 184.927994, Total Volume: 110.000000
Starting Price: 184.899994, Ending Price: 184.929993, Highest Price: 184.929993, Lowest Price: 184.899994, Total Volume: 12.000000
Starting Price: 184.889999, Ending Price: 184.889999, Highest Price: 184.927994, Lowest Price: 184.889999, Total Volume: 125.000000
Starting Price: 184.889999, Ending Price: 184.850006, Highest Price: 184.928802, Lowest Price: 184.850006, Total Volume: 980.000000
Starting Price: 184.875000, Ending Price: 184.919998, Highest Price: 184.929993, Lowest Price: 184.820007, Total Volume: 378.000000
Starting Price: 184.929993, Ending Price: 184.875000, Highest Price: 184.929993, Lowest Price: 184.875000, Total Volume: 47.000000
Starting Price: 184.875000, Ending Price: 184.869995, Highest Price: 184.884995, Lowest Price: 184.830002, Total Volume: 150.000000
Starting Price: 184.884995, Ending Price: 184.869995, Highest Price: 184.884995, Lowest Price: 184.820007, Total Volume: 106.000000
Starting Price: 184.820007, Ending Price: 184.830002, Highest Price: 184.889999, Lowest Price: 184.820007, Total Volume: 24.000000
Starting Price: 184.820007, Ending Price: 184.919998, Highest Price: 184.919998, Lowest Price: 184.820007, Total Volume: 22.000000
Starting Price: 184.869995, Ending Price: 184.990005, Highest Price: 184.990005, Lowest Price: 184.850006, Total Volume: 284.000000
Starting Price: 184.919998, Ending Price: 184.917999, Highest Price: 184.990005, Lowest Price: 184.906006, Total Volume: 19.000000
Starting Price: 184.919998, Ending Price: 184.990005, Highest Price: 184.990005, Lowest Price: 184.850006, Total Volume: 28.000000
Starting Price: 184.869995, Ending Price: 184.899994, Highest Price: 184.990005, Lowest Price: 184.820007, Total Volume: 53.000000
Starting Price: 184.899994, Ending Price: 184.979996, Highest Price: 184.979996, Lowest Price: 184.820007, Total Volume: 28.000000
Starting Price: 184.895004, Ending Price: 184.895004, Highest Price: 184.929993, Lowest Price: 184.846405, Total Volume: 104.000000
Starting Price: 184.929993, Ending Price: 184.895004, Highest Price: 184.929993, Lowest Price: 184.850006, Total Volume: 62.000000
Starting Price: 184.962494, Ending Price: 184.929993, Highest Price: 184.970001, Lowest Price: 184.820007, Total Volume: 379.000000
Starting Price: 184.820007, Ending Price: 184.889999, Highest Price: 184.970001, Lowest Price: 184.820007, Total Volume: 83.000000
Starting Price: 184.970001, Ending Price: 184.889999, Highest Price: 184.970001, Lowest Price: 184.809998, Total Volume: 224.000000
