Average trade price: 60650.000000, Total volume: 8.826139
Average trade price: 60640.000000, Total volume: 17.386119
Average trade price: 60657.666667, Total volume: 36.119935
Average trade price: 60671.276367, Total volume: 40.855279
Average trade price: 60673.392188, Total volume: 47.823072
Average trade price: 60674.493490, Total volume: 51.865593
Average trade price: 60675.422991, Total volume: 56.415300
Average trade price: 60678.198242, Total volume: 62.637329
Average trade price: 60685.731771, Total volume: 71.771812
Average trade price: 60692.718945, Total volume: 81.427261
Average trade price: 60696.107244, Total volume: 103.675945
Average trade price: 60696.431641, Total volume: 109.523260
Average trade price: 60697.090745, Total volume: 113.948132
Average trade price: 60700.399972, Total volume: 119.685080
Average trade price: 60701.573307, Total volume: 124.355058
Average trade price: 60706.032031, Total volume: 121.170602
Average trade price: 60713.359635, Total volume: 116.689592
Average trade price: 60718.359245, Total volume: 102.869803
Average trade price: 60721.485938, Total volume: 109.253243
Average trade price: 60726.358854, Total volume: 106.785749
Average trade price: 60730.225521, Total volume: 105.695689
Average trade price: 60735.225130, Total volume: 104.185734
Average trade price: 60740.434115, Total volume: 106.413165
Average trade price: 60743.943099, Total volume: 100.428959
Average trade price: 60747.369531, Total volume: 93.932075
Average trade price: 60753.703125, Total volume: 88.039613
Average trade price: 60763.380729, Total volume: 88.746649
Average trade price: 60773.599349, Total volume: 97.757527
Average trade price: 60779.688021, Total volume: 105.748987
Average trade price: 60783.788021, Total volume: 109.456851
Average trade price: 60788.795964, Total volume: 112.118311
Average trade price: 60795.135026, Total volume: 118.029150
Average trade price: 60798.265365, Total volume: 115.497929
Average trade price: 60801.308333, Total volume: 108.688169
Average trade price: 60804.575781, Total volume: 108.594305
Average trade price: 60808.976172, Total volume: 115.185108
Average trade price: 60812.852214, Total volume: 121.068196
Average trade price: 60814.288281, Total volume: 129.326223
Average trade price: 60816.378646, Total volume: 133.179364
Average trade price: 60818.245703, Total volume: 134.546051
Average trade price: 60817.179427, Total volume: 123.226768
Average trade price: 60814.301823, Total volume: 127.794532
Average trade price: 60811.016536, Total volume: 124.222714
Average trade price: 60810.325260, Total volume: 118.217560
Average trade price: 60812.951042, Total volume: 120.411581
Average trade price: 60813.362370, Total volume: 117.680768
Average trade price: 60810.686328, Total volume: 113.443532
Average trade price: 60810.279427, Total volume: 121.632188
Average trade price: 60809.232682, Total volume: 127.804457
Average trade price: 60804.032682, Total volume: 127.310599
Average trade price: 60799.006250, Total volume: 121.872230
Average trade price: 60793.648568, Total volume: 116.947437
Average trade price: 60789.361849, Total volume: 102.525498
Average trade price: 60782.502214, Total volume: 102.241237
Average trade price: 60775.046094, Total volume: 101.916310
Average trade price: 60771.415365, Total volume: 115.994167
Average trade price: 60768.949349, Total volume: 107.146532
Average trade price: 60764.350130, Total volume: 106.759348
Average trade price: 60757.526042, Total volume: 105.481742
Average trade price: 60751.005599, Total volume: 103.987056
Average trade price: 60746.756641, Total volume: 103.220196
Average trade price: 60739.699349, Total volume: 104.914518
Average trade price: 60731.203255, Total volume: 99.660930
Average trade price: 60725.273307, Total volume: 91.453442
Average trade price: 60723.092578, Total volume: 95.119421
Average trade price: 60719.905339, Total volume: 93.304406
Average trade price: 60715.770312, Total volume: 96.560399
Average trade price: 60711.622266, Total volume: 103.189066
Average trade price: 60707.682552, Total volume: 100.918693
Average trade price: 60703.126562, Total volume: 115.096736
Average trade price: 60698.257943, Total volume: 98.183481
Average trade price: 60693.994010, Total volume: 100.044951
Average trade price: 60692.847266, Total volume: 115.110205
Average trade price: 60695.179297, Total volume: 117.805958
Average trade price: 60695.585286, Total volume: 122.801152
Average trade price: 60690.345963, Total volume: 152.122399
Average trade price: 60688.145963, Total volume: 167.306682
Average trade price: 60685.485677, Total volume: 174.815160
Average trade price: 60682.170964, Total volume: 177.756969
Average trade price: 60680.347917, Total volume: 183.741054
Average trade price: 60679.815885, Total volume: 187.860347
Average trade price: 60679.100000, Total volume: 182.547787
Average trade price: 60678.889453, Total volume: 182.973433
Average trade price: 60679.373177, Total volume: 187.226822
Average trade price: 60678.714844, Total volume: 172.608905
Average trade price: 60675.814193, Total volume: 174.422213
Average trade price: 60671.544141, Total volume: 181.001167
Average trade price: 60667.193750, Total volume: 176.610513
Average trade price: 60664.271745, Total volume: 182.912257
Average trade price: 60659.960417, Total volume: 177.947667
