Starting Price: 60660.000000, Ending Price: 60639.250000, Highest Price: 60666.000000, Lowest Price: 60634.000000, Total Volume: 8.826139
Starting Price: 60639.238281, Ending Price: 60646.000000, Highest Price: 60646.000000, Lowest Price: 60614.000000, Total Volume: 8.559980
Starting Price: 60645.988281, Ending Price: 60742.000000, Highest Price: 60742.000000, Lowest Price: 60644.000000, Total Volume: 18.733816
Starting Price: 60742.000000, Ending Price: 60700.000000, Highest Price: 60744.000000, Lowest Price: 60680.210938, Total Volume: 4.735344
Starting Price: 60700.000000, Ending Price: 60660.000000, Highest Price: 60703.710938, Lowest Price: 60660.000000, Total Volume: 6.967793
Starting Price: 60660.011719, Ending Price: 60670.000000, Highest Price: 60700.000000, Lowest Price: 60660.000000, Total Volume: 4.042521
Starting Price: 60670.011719, Ending Price: 60688.000000, Highest Price: 60692.000000, Lowest Price: 60670.000000, Total Volume: 4.549707
Starting Price: 60688.000000, Ending Price: 60718.000000, Highest Price: 60720.000000, Lowest Price: 60675.250000, Total Volume: 6.222029
Starting Price: 60718.000000, Ending Price: 60773.968750, Highest Price: 60774.000000, Lowest Price: 60718.000000, Total Volume: 9.134483
Starting Price: 60773.960938, Ending Price: 60753.621094, Highest Price: 60773.968750, Lowest Price: 60737.238281, Total Volume: 9.655449
Starting Price: 60753.839844, Ending Price: 60704.011719, Highest Price: 60759.980469, Lowest Price: 60700.000000, Total Volume: 22.248684
Starting Price: 60704.011719, Ending Price: 60690.011719, Highest Price: 60710.000000, Lowest Price: 60690.000000, Total Volume: 5.847315
Starting Price: 60690.000000, Ending Price: 60714.839844, Highest Price: 60720.000000, Lowest Price: 60690.000000, Total Volume: 4.424872
Starting Price: 60714.851562, Ending Price: 60744.000000, Highest Price: 60772.000000, Lowest Price: 60714.839844, Total Volume: 5.736948
Starting Price: 60744.000000, Ending Price: 60706.121094, Highest Price: 60744.000000, Lowest Price: 60692.000000, Total Volume: 4.669978
Starting Price: 60706.109375, Ending Price: 60728.000000, Highest Price: 60732.000000, Lowest Price: 60701.761719, Total Volume: 5.641683
Starting Price: 60728.000000, Ending Price: 60755.988281, Highest Price: 60756.000000, Lowest Price: 60723.828125, Total Volume: 4.078970
Starting Price: 60755.988281, Ending Price: 60775.000000, Highest Price: 60780.000000, Lowest Price: 60755.988281, Total Volume: 4.914027
Starting Price: 60774.011719, Ending Price: 60763.988281, Highest Price: 60774.011719, Lowest Price: 60744.000000, Total Volume: 11.118784
Starting Price: 60763.980469, Ending Price: 60736.121094, Highest Price: 60775.898438, Lowest Price: 60734.000000, Total Volume: 4.500299
Starting Price: 60736.128906, Ending Price: 60745.988281, Highest Price: 60746.000000, Lowest Price: 60730.000000, Total Volume: 2.952461
Starting Price: 60746.000000, Ending Price: 60755.519531, Highest Price: 60766.000000, Lowest Price: 60745.988281, Total Volume: 3.039752
Starting Price: 60755.519531, Ending Price: 60788.000000, Highest Price: 60796.000000, Lowest Price: 60755.519531, Total Volume: 8.449460
Starting Price: 60788.000000, Ending Price: 60811.269531, Highest Price: 60811.269531, Lowest Price: 60786.000000, Total Volume: 3.150277
Starting Price: 60811.269531, Ending Price: 60804.000000, Highest Price: 60818.000000, Lowest Price: 60796.000000, Total Volume: 3.158565
Starting Price: 60803.988281, Ending Price: 60844.000000, Highest Price: 60846.000000, Lowest Price: 60803.988281, Total Volume: 16.356222
Starting Price: 60844.000000, Ending Price: 60847.500000, Highest Price: 60851.750000, Lowest Price: 60838.578125, Total Volume: 6.554351
Starting Price: 60847.488281, Ending Price: 60852.011719, Highest Price: 60869.558594, Lowest Price: 60847.000000, Total Volume: 13.435750
Starting Price: 60852.011719, Ending Price: 60808.011719, Highest Price: 60861.500000, Lowest Price: 60808.000000, Total Volume: 13.728408
Starting Price: 60808.000000, Ending Price: 60754.011719, Highest Price: 60808.000000, Lowest Price: 60751.000000, Total Volume: 8.377842
Starting Price: 60754.011719, Ending Price: 60825.699219, Highest Price: 60830.000000, Lowest Price: 60754.000000, Total Volume: 8.303143
Starting Price: 60824.011719, Ending Price: 60822.000000, Highest Price: 60848.000000, Lowest Price: 60822.000000, Total Volume: 9.989809
Starting Price: 60822.011719, Ending Price: 60799.898438, Highest Price: 60830.000000, Lowest Price: 60799.898438, Total Volume: 2.382806
Starting Price: 60799.898438, Ending Price: 60800.011719, Highest Price: 60815.699219, Lowest Price: 60793.601562, Total Volume: 4.309024
Starting Price: 60800.019531, Ending Price: 60818.000000, Highest Price: 60819.910156, Lowest Price: 60788.011719, Total Volume: 4.406435
Starting Price: 60818.011719, Ending Price: 60797.968750, Highest Price: 60818.011719, Lowest Price: 60790.000000, Total Volume: 9.543264
Starting Price: 60797.980469, Ending Price: 60800.011719, Highest Price: 60830.300781, Lowest Price: 60797.968750, Total Volume: 8.922840
Starting Price: 60800.000000, Ending Price: 60799.988281, Highest Price: 60814.000000, Lowest Price: 60780.601562, Total Volume: 16.707487
Starting Price: 60799.988281, Ending Price: 60844.011719, Highest Price: 60860.000000, Lowest Price: 60799.980469, Total Volume: 7.003418
Starting Price: 60844.000000, Ending Price: 60826.328125, Highest Price: 60844.011719, Lowest Price: 60826.000000, Total Volume: 4.525252
Starting Price: 60830.000000, Ending Price: 60788.011719, Highest Price: 60830.000000, Lowest Price: 60788.000000, Total Volume: 5.036939
Starting Price: 60788.000000, Ending Price: 60807.589844, Highest Price: 60816.000000, Lowest Price: 60788.000000, Total Volume: 11.122115
Starting Price: 60807.589844, Ending Price: 60814.011719, Highest Price: 60828.000000, Lowest Price: 60790.000000, Total Volume: 9.863932
Starting Price: 60814.011719, Ending Price: 60834.000000, Highest Price: 60834.750000, Lowest Price: 60814.011719, Total Volume: 7.723254
Starting Price: 60834.000000, Ending Price: 60802.941406, Highest Price: 60835.761719, Lowest Price: 60802.011719, Total Volume: 10.571863
Starting Price: 60802.941406, Ending Price: 60808.621094, Highest Price: 60811.339844, Lowest Price: 60785.000000, Total Volume: 5.572330
Starting Price: 60808.609375, Ending Price: 60789.148438, Highest Price: 60808.609375, Lowest Price: 60781.109375, Total Volume: 5.752573
Starting Price: 60789.140625, Ending Price: 60826.000000, Highest Price: 60828.550781, Lowest Price: 60789.140625, Total Volume: 10.571462
Starting Price: 60826.000000, Ending Price: 60739.898438, Highest Price: 60838.000000, Lowest Price: 60739.898438, Total Volume: 10.481293
Starting Price: 60739.910156, Ending Price: 60719.230469, Highest Price: 60739.910156, Lowest Price: 60712.011719, Total Volume: 3.912577
Starting Price: 60719.230469, Ending Price: 60729.550781, Highest Price: 60738.000000, Lowest Price: 60719.218750, Total Volume: 4.104895
Starting Price: 60729.539062, Ending Price: 60732.011719, Highest Price: 60738.000000, Lowest Price: 60729.539062, Total Volume: 3.998047
Starting Price: 60732.011719, Ending Price: 60738.000000, Highest Price: 60740.000000, Lowest Price: 60726.000000, Total Volume: 2.285548
Starting Price: 60738.011719, Ending Price: 60733.988281, Highest Price: 60738.011719, Lowest Price: 60716.179688, Total Volume: 6.719157
Starting Price: 60733.988281, Ending Price: 60733.449219, Highest Price: 60733.988281, Lowest Price: 60712.339844, Total Volume: 4.200325
Starting Price: 60733.460938, Ending Price: 60772.019531, Highest Price: 60779.078125, Lowest Price: 60730.000000, Total Volume: 19.114796
Starting Price: 60772.019531, Ending Price: 60758.000000, Highest Price: 60772.019531, Lowest Price: 60758.000000, Total Volume: 2.274480
Starting Price: 60758.011719, Ending Price: 60722.011719, Highest Price: 60758.011719, Lowest Price: 60722.011719, Total Volume: 9.476748
Starting Price: 60722.011719, Ending Price: 60712.050781, Highest Price: 60732.000000, Lowest Price: 60712.039062, Total Volume: 6.445648
Starting Price: 60712.039062, Ending Price: 60736.000000, Highest Price: 60736.000000, Lowest Price: 60706.160156, Total Volume: 9.077177
Starting Price: 60736.000000, Ending Price: 60708.878906, Highest Price: 60760.000000, Lowest Price: 60708.871094, Total Volume: 4.805470
Starting Price: 60708.871094, Ending Price: 60667.769531, Highest Price: 60712.000000, Lowest Price: 60666.000000, Total Volume: 7.446895
Starting Price: 60667.769531, Ending Price: 60695.031250, Highest Price: 60695.039062, Lowest Price: 60667.769531, Total Volume: 5.317874
Starting Price: 60695.031250, Ending Price: 60702.000000, Highest Price: 60706.000000, Lowest Price: 60694.000000, Total Volume: 2.273805
Starting Price: 60702.000000, Ending Price: 60693.289062, Highest Price: 60702.000000, Lowest Price: 60684.500000, Total Volume: 7.578556
Starting Price: 60693.289062, Ending Price: 60666.011719, Highest Price: 60695.601562, Lowest Price: 60666.000000, Total Volume: 2.289880
Starting Price: 60666.000000, Ending Price: 60677.488281, Highest Price: 60677.488281, Lowest Price: 60666.000000, Total Volume: 7.254040
Starting Price: 60677.480469, Ending Price: 60654.000000, Highest Price: 60687.558594, Lowest Price: 60654.000000, Total Volume: 8.914215
Starting Price: 60654.011719, Ending Price: 60656.019531, Highest Price: 60682.000000, Lowest Price: 60654.000000, Total Volume: 4.448784
Starting Price: 60654.000000, Ending Price: 60669.750000, Highest Price: 60669.750000, Lowest Price: 60639.898438, Total Volume: 18.378368
Starting Price: 60669.738281, Ending Price: 60693.269531, Highest Price: 60693.281250, Lowest Price: 60669.738281, Total Volume: 2.201541
Starting Price: 60693.281250, Ending Price: 60704.011719, Highest Price: 60708.820312, Lowest Price: 60693.281250, Total Volume: 4.135950
Starting Price: 60704.011719, Ending Price: 60753.910156, Highest Price: 60755.070312, Lowest Price: 60690.550781, Total Volume: 24.542002
Starting Price: 60753.910156, Ending Price: 60764.660156, Highest Price: 60766.000000, Lowest Price: 60748.000000, Total Volume: 9.141401
Starting Price: 60764.660156, Ending Price: 60689.691406, Highest Price: 60764.660156, Lowest Price: 60689.679688, Total Volume: 14.072371
Starting Price: 60689.679688, Ending Price: 60663.988281, Highest Price: 60689.691406, Lowest Price: 60622.000000, Total Volume: 34.126717
Starting Price: 60664.000000, Ending Price: 60654.000000, Highest Price: 60670.000000, Lowest Price: 60642.000000, Total Volume: 22.631178
Starting Price: 60654.000000, Ending Price: 60632.910156, Highest Price: 60654.011719, Lowest Price: 60628.988281, Total Volume: 12.826352
Starting Price: 60632.910156, Ending Price: 60658.878906, Highest Price: 60667.648438, Lowest Price: 60632.910156, Total Volume: 5.215614
Starting Price: 60658.878906, Ending Price: 60670.261719, Highest Price: 60675.808594, Lowest Price: 60656.000000, Total Volume: 13.562641
Starting Price: 60670.269531, Ending Price: 60669.988281, Highest Price: 60681.640625, Lowest Price: 60664.000000, Total Volume: 6.409173
Starting Price: 60669.988281, Ending Price: 60652.019531, Highest Price: 60670.000000, Lowest Price: 60652.011719, Total Volume: 1.941480
Starting Price: 60652.019531, Ending Price: 60672.000000, Highest Price: 60683.230469, Lowest Price: 60652.011719, Total Volume: 9.339861
Starting Price: 60672.000000, Ending Price: 60644.511719, Highest Price: 60706.000000, Lowest Price: 60644.511719, Total Volume: 8.702173
Starting Price: 60644.511719, Ending Price: 60639.898438, Highest Price: 60650.000000, Lowest Price: 60639.898438, Total Volume: 3.760451
Starting Price: 60639.898438, Ending Price: 60646.000000, Highest Price: 60646.000000, Lowest Price: 60630.000000, Total Volume: 4.014849
Starting Price: 60646.000000, Ending Price: 60635.109375, Highest Price: 60654.000000, Lowest Price: 60620.000000, Total Volume: 10.714904
Starting Price: 60635.121094, Ending Price: 60680.000000, Highest Price: 60680.000000, Lowest Price: 60635.109375, Total Volume: 20.151348
Starting Price: 60680.000000, Ending Price: 60684.000000, Highest Price: 60746.351562, Lowest Price: 60679.988281, Total Volume: 15.443145
Starting Price: 60684.000000, Ending Price: 60642.000000, Highest Price: 60684.000000, Lowest Price: 60641.000000, Total Volume: 9.107781
Starting Price: 60642.000000, Ending Price: 60619.910156, Highest Price: 60663.109375, Lowest Price: 60604.800781, Total Volume: 14.682724
Starting Price: 60619.660156, Ending Price: 60542.019531, Highest Price: 60619.660156, Lowest Price: 60536.000000, Total Volume: 23.398455
Starting Price: 60542.019531, Ending Price: 60548.000000, Highest Price: 60568.351562, Lowest Price: 60539.898438, Total Volume: 8.766541
Starting Price: 60547.089844, Ending Price: 60574.480469, Highest Price: 60585.988281, Lowest Price: 60540.371094, Total Volume: 12.496699
Starting Price: 60574.480469, Ending Price: 60667.878906, Highest Price: 60708.871094, Lowest Price: 60572.589844, Total Volume: 22.243639
Starting Price: 60667.878906, Ending Price: 60645.988281, Highest Price: 60682.000000, Lowest Price: 60619.910156, Total Volume: 9.601971
Starting Price: 60645.988281, Ending Price: 60732.988281, Highest Price: 60759.039062, Lowest Price: 60645.980469, Total Volume: 9.058436
Starting Price: 60732.011719, Ending Price: 60816.000000, Highest Price: 60832.000000, Lowest Price: 60728.500000, Total Volume: 39.891235
Starting Price: 60816.000000, Ending Price: 60792.570312, Highest Price: 60837.121094, Lowest Price: 60788.000000, Total Volume: 34.056137
Starting Price: 60792.558594, Ending Price: 60787.988281, Highest Price: 60845.078125, Lowest Price: 60780.089844, Total Volume: 26.197119
Starting Price: 60787.988281, Ending Price: 60800.000000, Highest Price: 60800.000000, Lowest Price: 60756.570312, Total Volume: 13.669452
Starting Price: 60800.000000, Ending Price: 60821.988281, Highest Price: 60822.000000, Lowest Price: 60779.898438, Total Volume: 12.979998
Starting Price: 60821.988281, Ending Price: 60809.000000, Highest Price: 60825.519531, Lowest Price: 60774.000000, Total Volume: 29.046431
Starting Price: 60808.398438, Ending Price: 60780.000000, Highest Price: 60815.328125, Lowest Price: 60718.000000, Total Volume: 41.112793
Starting Price: 60780.000000, Ending Price: 60722.011719, Highest Price: 60796.988281, Lowest Price: 60722.000000, Total Volume: 48.628605
Starting Price: 60722.011719, Ending Price: 60711.988281, Highest Price: 60766.000000, Lowest Price: 60700.000000, Total Volume: 23.826017
Starting Price: 60712.000000, Ending Price: 60703.109375, Highest Price: 60718.000000, Lowest Price: 60670.078125, Total Volume: 10.729186
Starting Price: 60703.101562, Ending Price: 60649.648438, Highest Price: 60709.730469, Lowest Price: 60642.011719, Total Volume: 6.969297
Starting Price: 60649.640625, Ending Price: 60701.988281, Highest Price: 60720.000000, Lowest Price: 60649.640625, Total Volume: 10.363607
Starting Price: 60701.988281, Ending Price: 60600.019531, Highest Price: 60701.988281, Lowest Price: 60599.910156, Total Volume: 67.354385
Starting Price: 60600.019531, Ending Price: 60568.000000, Highest Price: 60600.019531, Lowest Price: 60552.191406, Total Volume: 17.329372
Starting Price: 60568.000000, Ending Price: 60596.011719, Highest Price: 60620.000000, Lowest Price: 60567.988281, Total Volume: 20.157995
Starting Price: 60596.019531, Ending Price: 60558.000000, Highest Price: 60630.000000, Lowest Price: 60558.000000, Total Volume: 10.282638
Starting Price: 60558.000000, Ending Price: 60699.988281, Highest Price: 60700.000000, Lowest Price: 60558.000000, Total Volume: 22.229984
Starting Price: 60700.000000, Ending Price: 60779.988281, Highest Price: 60787.878906, Lowest Price: 60699.988281, Total Volume: 24.292627
Starting Price: 60780.000000, Ending Price: 60743.550781, Highest Price: 60785.789062, Lowest Price: 60728.019531, Total Volume: 8.274570
Starting Price: 60743.539062, Ending Price: 60779.148438, Highest Price: 60780.000000, Lowest Price: 60728.000000, Total Volume: 8.941139
Starting Price: 60779.148438, Ending Price: 60770.000000, Highest Price: 60832.000000, Lowest Price: 60763.121094, Total Volume: 16.022251
Starting Price: 60770.000000, Ending Price: 60838.671875, Highest Price: 60838.671875, Lowest Price: 60770.000000, Total Volume: 35.731163
Starting Price: 60893.898438, Ending Price: 60891.988281, Highest Price: 60893.988281, Lowest Price: 60884.488281, Total Volume: 1.246330
