Starting Price: 1.104640, Ending Price: 1.104670, Highest Price: 1.104680, Lowest Price: 1.104630, Total Volume: 0.000000
Starting Price: 1.104680, Ending Price: 1.104640, Highest Price: 1.104680, Lowest Price: 1.104640, Total Volume: 0.000000
Starting Price: 1.104630, Ending Price: 1.104650, Highest Price: 1.104650, Lowest Price: 1.104620, Total Volume: 0.000000
Starting Price: 1.104660, Ending Price: 1.104650, Highest Price: 1.104660, Lowest Price: 1.104620, Total Volume: 0.000000
Starting Price: 1.104640, Ending Price: 1.104690, Highest Price: 1.104690, Lowest Price: 1.104640, Total Volume: 0.000000
Starting Price: 1.104700, Ending Price: 1.104680, Highest Price: 1.104700, Lowest Price: 1.104660, Total Volume: 0.000000
Starting Price: 1.104640, Ending Price: 1.104640, Highest Price: 1.104640, Lowest Price: 1.104630, Total Volume: 0.000000
Starting Price: 1.104630, Ending Price: 1.104640, Highest Price: 1.104690, Lowest Price: 1.104630, Total Volume: 0.000000
Starting Price: 1.104650, Ending Price: 1.104620, Highest Price: 1.104650, Lowest Price: 1.104600, Total Volume: 0.000000
Starting Price: 1.104630, Ending Price: 1.104600, Highest Price: 1.104630, Lowest Price: 1.104590, Total Volume: 0.000000
Starting Price: 1.104590, Ending Price: 1.104630, Highest Price: 1.104640, Lowest Price: 1.104590, Total Volume: 0.000000
Starting Price: 1.104640, Ending Price: 1.104680, Highest Price: 1.104680, Lowest Price: 1.104640, Total Volume: 0.000000
Starting Price: 1.104670, Ending Price: 1.104690, Highest Price: 1.104690, Lowest Price: 1.104670, Total Volume: 0.000000
Starting Price: 1.104680, Ending Price: 1.104680, Highest Price: 1.104690, Lowest Price: 1.104680, Total Volume: 0.000000
Starting Price: 1.104690, Ending Price: 1.104690, Highest Price: 1.104690, Lowest Price: 1.104690, Total Volume: 0.000000
Starting Price: 1.104740, Ending Price: 1.104740, Highest Price: 1.104740, Lowest Price: 1.104730, Total Volume: 0.000000
Starting Price: 1.104730, Ending Price: 1.104730, Highest Price: 1.104740, Lowest Price: 1.104720, Total Volume: 0.000000
Starting Price: 1.104740, Ending Price: 1.104720, Highest Price: 1.104740, Lowest Price: 1.104720, Total Volume: 0.000000
Starting Price: 1.104710, Ending Price: 1.104700, Highest Price: 1.104710, Lowest Price: 1.104700, Total Volume: 0.000000
Starting Price: 1.104690, Ending Price: 1.104690, Highest Price: 1.104700, Lowest Price: 1.104680, Total Volume: 0.000000
Starting Price: 1.104680, Ending Price: 1.104665, Highest Price: 1.104680, Lowest Price: 1.104665, Total Volume: 0.000000
Starting Price: 1.104670, Ending Price: 1.104650, Highest Price: 1.104680, Lowest Price: 1.104630, Total Volume: 0.000000
Starting Price: 1.104630, Ending Price: 1.104600, Highest Price: 1.104650, Lowest Price: 1.104600, Total Volume: 0.000000
Starting Price: 1.104610, Ending Price: 1.104610, Highest Price: 1.104610, Lowest Price: 1.104570, Total Volume: 0.000000
Starting Price: 1.104620, Ending Price: 1.104630, Highest Price: 1.104630, Lowest Price: 1.104610, Total Volume: 0.000000
Starting Price: 1.104620, Ending Price: 1.104650, Highest Price: 1.104670, Lowest Price: 1.104620, Total Volume: 0.000000
Starting Price: 1.104640, Ending Price: 1.104630, Highest Price: 1.104640, Lowest Price: 1.104620, Total Volume: 0.000000
Starting Price: 1.104620, Ending Price: 1.104530, Highest Price: 1.104620, Lowest Price: 1.104530, Total Volume: 0.000000
Starting Price: 1.104520, Ending Price: 1.104480, Highest Price: 1.104520, Lowest Price: 1.104470, Total Volume: 0.000000
Starting Price: 1.104470, Ending Price: 1.104480, Highest Price: 1.104530, Lowest Price: 1.104450, Total Volume: 0.000000
Starting Price: 1.104470, Ending Price: 1.104400, Highest Price: 1.104480, Lowest Price: 1.104400, Total Volume: 0.000000
Starting Price: 1.104380, Ending Price: 1.104390, Highest Price: 1.104430, Lowest Price: 1.104370, Total Volume: 0.000000
Starting Price: 1.104380, Ending Price: 1.104430, Highest Price: 1.104430, Lowest Price: 1.104380, Total Volume: 0.000000
Starting Price: 1.104420, Ending Price: 1.104480, Highest Price: 1.104490, Lowest Price: 1.104420, Total Volume: 0.000000
Starting Price: 1.104480, Ending Price: 1.104480, Highest Price: 1.104500, Lowest Price: 1.104480, Total Volume: 0.000000
Starting Price: 1.104490, Ending Price: 1.104520, Highest Price: 1.104520, Lowest Price: 1.104480, Total Volume: 0.000000
Starting Price: 1.104510, Ending Price: 1.104530, Highest Price: 1.104550, Lowest Price: 1.104480, Total Volume: 0.000000
Starting Price: 1.104540, Ending Price: 1.104540, Highest Price: 1.104540, Lowest Price: 1.104530, Total Volume: 0.000000
Starting Price: 1.104560, Ending Price: 1.104570, Highest Price: 1.104580, Lowest Price: 1.104560, Total Volume: 0.000000
Starting Price: 1.104580, Ending Price: 1.104520, Highest Price: 1.104580, Lowest Price: 1.104520, Total Volume: 0.000000
Starting Price: 1.104530, Ending Price: 1.104480, Highest Price: 1.104530, Lowest Price: 1.104470, Total Volume: 0.000000
Starting Price: 1.104500, Ending Price: 1.104530, Highest Price: 1.104530, Lowest Price: 1.104500, Total Volume: 0.000000
Starting Price: 1.104520, Ending Price: 1.104530, Highest Price: 1.104530, Lowest Price: 1.104520, Total Volume: 0.000000
Starting Price: 1.104520, Ending Price: 1.104530, Highest Price: 1.104540, Lowest Price: 1.104520, Total Volume: 0.000000
Starting Price: 1.104540, Ending Price: 1.104580, Highest Price: 1.104580, Lowest Price: 1.104530, Total Volume: 0.000000
Starting Price: 1.104560, Ending Price: 1.104540, Highest Price: 1.104590, Lowest Price: 1.104540, Total Volume: 0.000000
Starting Price: 1.104530, Ending Price: 1.104530, Highest Price: 1.104540, Lowest Price: 1.104530, Total Volume: 0.000000
Starting Price: 1.104540, Ending Price: 1.104530, Highest Price: 1.104540, Lowest Price: 1.104520, Total Volume: 0.000000
Starting Price: 1.104540, Ending Price: 1.104540, Highest Price: 1.104540, Lowest Price: 1.104530, Total Volume: 0.000000
Starting Price: 1.104550, Ending Price: 1.104580, Highest Price: 1.104590, Lowest Price: 1.104530, Total Volume: 0.000000
Starting Price: 1.104590, Ending Price: 1.104630, Highest Price: 1.104640, Lowest Price: 1.104590, Total Volume: 0.000000
Starting Price: 1.104600, Ending Price: 1.104590, Highest Price: 1.104620, Lowest Price: 1.104590, Total Volume: 0.000000
Starting Price: 1.104600, Ending Price: 1.104610, Highest Price: 1.104610, Lowest Price: 1.104600, Total Volume: 0.000000
Starting Price: 1.104600, Ending Price: 1.104610, Highest Price: 1.104650, Lowest Price: 1.104590, Total Volume: 0.000000
Starting Price: 1.104620, Ending Price: 1.104640, Highest Price: 1.104640, Lowest Price: 1.104620, Total Volume: 0.000000
Starting Price: 0.000000, Ending Price: 0.000000, Highest Price: 0.000000, Lowest Price: 340282346638528859811704183484516925440.000000, Total Volume: 0.000000
Starting Price: 1.104630, Ending Price: 1.104640, Highest Price: 1.104660, Lowest Price: 1.104630, Total Volume: 0.000000
Starting Price: 1.104670, Ending Price: 1.104640, Highest Price: 1.104670, Lowest Price: 1.104640, Total Volume: 0.000000
Starting Price: 1.104650, Ending Price: 1.104640, Highest Price: 1.104650, Lowest Price: 1.104640, Total Volume: 0.000000
Starting Price: 1.104630, Ending Price: 1.104650, Highest Price: 1.104650, Lowest Price: 1.104620, Total Volume: 0.000000
Starting Price: 1.104660, Ending Price: 1.104680, Highest Price: 1.104690, Lowest Price: 1.104660, Total Volume: 0.000000
Starting Price: 1.104690, Ending Price: 1.104670, Highest Price: 1.104690, Lowest Price: 1.104640, Total Volume: 0.000000
Starting Price: 1.104680, Ending Price: 1.104670, Highest Price: 1.104680, Lowest Price: 1.104670, Total Volume: 0.000000
Starting Price: 1.104660, Ending Price: 1.104660, Highest Price: 1.104670, Lowest Price: 1.104640, Total Volume: 0.000000
Starting Price: 1.104670, Ending Price: 1.104710, Highest Price: 1.104710, Lowest Price: 1.104670, Total Volume: 0.000000
Starting Price: 1.104700, Ending Price: 1.104700, Highest Price: 1.104700, Lowest Price: 1.104680, Total Volume: 0.000000
Starting Price: 1.104690, Ending Price: 1.104690, Highest Price: 1.104690, Lowest Price: 1.104680, Total Volume: 0.000000
Starting Price: 1.104680, Ending Price: 1.104690, Highest Price: 1.104690, Lowest Price: 1.104680, Total Volume: 0.000000
Starting Price: 1.104680, Ending Price: 1.104690, Highest Price: 1.104690, Lowest Price: 1.104680, Total Volume: 0.000000
Starting Price: 1.104680, Ending Price: 1.104680, Highest Price: 1.104680, Lowest Price: 1.104680, Total Volume: 0.000000
Starting Price: 1.104680, Ending Price: 1.104680, Highest Price: 1.104690, Lowest Price: 1.104680, Total Volume: 0.000000
Starting Price: 1.104690, Ending Price: 1.104670, Highest Price: 1.104740, Lowest Price: 1.104660, Total Volume: 0.000000
Starting Price: 1.104660, Ending Price: 1.104660, Highest Price: 1.104670, Lowest Price: 1.104640, Total Volume: 0.000000
Starting Price: 1.104680, Ending Price: 1.104650, Highest Price: 1.104700, Lowest Price: 1.104640, Total Volume: 0.000000
Starting Price: 1.104640, Ending Price: 1.104670, Highest Price: 1.104710, Lowest Price: 1.104630, Total Volume: 0.000000
Starting Price: 1.104660, Ending Price: 1.104690, Highest Price: 1.104690, Lowest Price: 1.104660, Total Volume: 0.000000
Starting Price: 1.104660, Ending Price: 1.104680, Highest Price: 1.104690, Lowest Price: 1.104660, Total Volume: 0.000000
Starting Price: 1.104700, Ending Price: 1.104780, Highest Price: 1.104780, Lowest Price: 1.104690, Total Volume: 0.000000
Starting Price: 1.104770, Ending Price: 1.104690, Highest Price: 1.104780, Lowest Price: 1.104680, Total Volume: 0.000000
Starting Price: 1.104680, Ending Price: 1.104700, Highest Price: 1.104790, Lowest Price: 1.104680, Total Volume: 0.000000
Starting Price: 1.104710, Ending Price: 1.104740, Highest Price: 1.104750, Lowest Price: 1.104700, Total Volume: 0.000000
Starting Price: 1.104730, Ending Price: 1.104730, Highest Price: 1.104750, Lowest Price: 1.104720, Total Volume: 0.000000
Starting Price: 1.104740, Ending Price: 1.104730, Highest Price: 1.104740, Lowest Price: 1.104720, Total Volume: 0.000000
Starting Price: 1.104740, Ending Price: 1.104740, Highest Price: 1.104740, Lowest Price: 1.104730, Total Volume: 0.000000
Starting Price: 1.104690, Ending Price: 1.104640, Highest Price: 1.104690, Lowest Price: 1.104640, Total Volume: 0.000000
Starting Price: 1.104630, Ending Price: 1.104590, Highest Price: 1.104640, Lowest Price: 1.104580, Total Volume: 0.000000
Starting Price: 1.104610, Ending Price: 1.104570, Highest Price: 1.104620, Lowest Price: 1.104520, Total Volume: 0.000000
Starting Price: 1.104580, Ending Price: 1.104540, Highest Price: 1.104670, Lowest Price: 1.104530, Total Volume: 0.000000
Starting Price: 1.104530, Ending Price: 1.104470, Highest Price: 1.104540, Lowest Price: 1.104460, Total Volume: 0.000000
Starting Price: 1.104520, Ending Price: 1.104510, Highest Price: 1.104540, Lowest Price: 1.104380, Total Volume: 0.000000
Starting Price: 1.104490, Ending Price: 1.104580, Highest Price: 1.104610, Lowest Price: 1.104480, Total Volume: 0.000000
Starting Price: 1.104570, Ending Price: 1.104590, Highest Price: 1.104640, Lowest Price: 1.104540, Total Volume: 0.000000
Starting Price: 1.104580, Ending Price: 1.104530, Highest Price: 1.104630, Lowest Price: 1.104480, Total Volume: 0.000000
Starting Price: 1.104540, Ending Price: 1.104660, Highest Price: 1.104670, Lowest Price: 1.104530, Total Volume: 0.000000
Starting Price: 1.104620, Ending Price: 1.104580, Highest Price: 1.104630, Lowest Price: 1.104530, Total Volume: 0.000000
Starting Price: 1.104560, Ending Price: 1.104580, Highest Price: 1.104590, Lowest Price: 1.104530, Total Volume: 0.000000
Starting Price: 1.104570, Ending Price: 1.104550, Highest Price: 1.104620, Lowest Price: 1.104540, Total Volume: 0.000000
Starting Price: 1.104560, Ending Price: 1.104480, Highest Price: 1.104560, Lowest Price: 1.104480, Total Volume: 0.000000
Starting Price: 1.104490, Ending Price: 1.104520, Highest Price: 1.104520, Lowest Price: 1.104430, Total Volume: 0.000000
Starting Price: 1.104490, Ending Price: 1.104500, Highest Price: 1.104540, Lowest Price: 1.104480, Total Volume: 0.000000
Starting Price: 1.104490, Ending Price: 1.104480, Highest Price: 1.104500, Lowest Price: 1.104430, Total Volume: 0.000000
Starting Price: 1.104470, Ending Price: 1.104470, Highest Price: 1.104500, Lowest Price: 1.104430, Total Volume: 0.000000
Starting Price: 1.104440, Ending Price: 1.104380, Highest Price: 1.104450, Lowest Price: 1.104360, Total Volume: 0.000000
Starting Price: 1.104360, Ending Price: 1.104250, Highest Price: 1.104360, Lowest Price: 1.104220, Total Volume: 0.000000
Starting Price: 1.104260, Ending Price: 1.104290, Highest Price: 1.104290, Lowest Price: 1.104220, Total Volume: 0.000000
Starting Price: 1.104300, Ending Price: 1.104220, Highest Price: 1.104300, Lowest Price: 1.104200, Total Volume: 0.000000
Starting Price: 1.104230, Ending Price: 1.104230, Highest Price: 1.104240, Lowest Price: 1.104200, Total Volume: 0.000000
Starting Price: 1.104240, Ending Price: 1.104280, Highest Price: 1.104290, Lowest Price: 1.104230, Total Volume: 0.000000
Starting Price: 1.104290, Ending Price: 1.104340, Highest Price: 1.104350, Lowest Price: 1.104250, Total Volume: 0.000000
Starting Price: 1.104330, Ending Price: 1.104200, Highest Price: 1.104340, Lowest Price: 1.104190, Total Volume: 0.000000
Starting Price: 1.104190, Ending Price: 1.104220, Highest Price: 1.104240, Lowest Price: 1.104170, Total Volume: 0.000000
Starting Price: 1.104240, Ending Price: 1.104210, Highest Price: 1.104260, Lowest Price: 1.104210, Total Volume: 0.000000
Starting Price: 1.104180, Ending Price: 1.104050, Highest Price: 1.104180, Lowest Price: 1.104050, Total Volume: 0.000000
Starting Price: 1.104040, Ending Price: 1.103880, Highest Price: 1.104070, Lowest Price: 1.103880, Total Volume: 0.000000
Starting Price: 1.103870, Ending Price: 1.103850, Highest Price: 1.103900, Lowest Price: 1.103830, Total Volume: 0.000000
Starting Price: 1.103830, Ending Price: 1.103810, Highest Price: 1.103880, Lowest Price: 1.103810, Total Volume: 0.000000
Starting Price: 1.103820, Ending Price: 1.103750, Highest Price: 1.103830, Lowest Price: 1.103730, Total Volume: 0.000000
Starting Price: 1.103760, Ending Price: 1.103890, Highest Price: 1.103900, Lowest Price: 1.103740, Total Volume: 0.000000
Starting Price: 1.103900, Ending Price: 1.104030, Highest Price: 1.104040, Lowest Price: 1.103900, Total Volume: 0.000000
Starting Price: 0.000000, Ending Price: 0.000000, Highest Price: 0.000000, Lowest Price: 340282346638528859811704183484516925440.000000, Total Volume: 0.000000
Starting Price: 1.104120, Ending Price: 1.104210, Highest Price: 1.104220, Lowest Price: 1.104120, Total Volume: 0.000000
Starting Price: 1.104220, Ending Price: 1.104200, Highest Price: 1.104220, Lowest Price: 1.104130, Total Volume: 0.000000
Starting Price: 1.104190, Ending Price: 1.104130, Highest Price: 1.104190, Lowest Price: 1.104070, Total Volume: 0.000000
Starting Price: 0.000000, Ending Price: 0.000000, Highest Price: 0.000000, Lowest Price: 340282346638528859811704183484516925440.000000, Total Volume: 0.000000
Starting Price: 1.104100, Ending Price: 1.104150, Highest Price: 1.104170, Lowest Price: 1.104100, Total Volume: 0.000000
Starting Price: 1.104160, Ending Price: 1.104150, Highest Price: 1.104170, Lowest Price: 1.104120, Total Volume: 0.000000
Starting Price: 1.104140, Ending Price: 1.104120, Highest Price: 1.104190, Lowest Price: 1.104110, Total Volume: 0.000000
Starting Price: 1.104130, Ending Price: 1.104120, Highest Price: 1.104130, Lowest Price: 1.104110, Total Volume: 0.000000
Starting Price: 1.104110, Ending Price: 1.104070, Highest Price: 1.104120, Lowest Price: 1.104070, Total Volume: 0.000000
Starting Price: 1.104080, Ending Price: 1.104060, Highest Price: 1.104130, Lowest Price: 1.104060, Total Volume: 0.000000
Starting Price: 1.104030, Ending Price: 1.104020, Highest Price: 1.104050, Lowest Price: 1.104020, Total Volume: 0.000000
Starting Price: 1.104010, Ending Price: 1.103960, Highest Price: 1.104020, Lowest Price: 1.103910, Total Volume: 0.000000
Starting Price: 1.103970, Ending Price: 1.104030, Highest Price: 1.104060, Lowest Price: 1.103940, Total Volume: 0.000000
Starting Price: 1.104040, Ending Price: 1.103920, Highest Price: 1.104060, Lowest Price: 1.103910, Total Volume: 0.000000
Starting Price: 1.103930, Ending Price: 1.103860, Highest Price: 1.103930, Lowest Price: 1.103820, Total Volume: 0.000000
Starting Price: 1.103880, Ending Price: 1.103880, Highest Price: 1.103910, Lowest Price: 1.103870, Total Volume: 0.000000
Starting Price: 1.103900, Ending Price: 1.103830, Highest Price: 1.103900, Lowest Price: 1.103800, Total Volume: 0.000000
Starting Price: 1.103840, Ending Price: 1.103880, Highest Price: 1.103900, Lowest Price: 1.103800, Total Volume: 0.000000
Starting Price: 1.103890, Ending Price: 1.103920, Highest Price: 1.103970, Lowest Price: 1.103880, Total Volume: 0.000000
Starting Price: 1.103910, Ending Price: 1.103900, Highest Price: 1.103940, Lowest Price: 1.103880, Total Volume: 0.000000
Starting Price: 1.103910, Ending Price: 1.103870, Highest Price: 1.103930, Lowest Price: 1.103870, Total Volume: 0.000000
Starting Price: 1.103880, Ending Price: 1.103880, Highest Price: 1.103970, Lowest Price: 1.103820, Total Volume: 0.000000
Starting Price: 1.103860, Ending Price: 1.103910, Highest Price: 1.103940, Lowest Price: 1.103860, Total Volume: 0.000000
Starting Price: 1.103900, Ending Price: 1.103880, Highest Price: 1.103950, Lowest Price: 1.103870, Total Volume: 0.000000
Starting Price: 1.103860, Ending Price: 1.103890, Highest Price: 1.103890, Lowest Price: 1.103820, Total Volume: 0.000000
Starting Price: 1.103880, Ending Price: 1.103900, Highest Price: 1.103930, Lowest Price: 1.103860, Total Volume: 0.000000
Starting Price: 1.103910, Ending Price: 1.103840, Highest Price: 1.103950, Lowest Price: 1.103840, Total Volume: 0.000000
